card_id,name,subtitle,status,mythology,tier,atk,hp,special_name,special_description,quote,role,design_note,corner_icon,art_filename
daedalus,Daedalus,Master Inventor,Hero,Greek,II,90,145,Craftsmanship,Repairs the weakest ally's card for 80 Health.,With ingenuity all things are possible.,survivability,,compass,Daedalus.png
orion,Orion,Great Hunter,God,Greek,III,100,125,Starshot,Deal 60 damage. Ignore Armor and Shields.,Try and hide... I'll still see you.,burst_damage,,star,Orion.png
charles-beckendorf,Charles Beckendorf,Master Smith of Hephaestus,Demigod,Greek,II,85,140,Last Stand Detonation,Deal 70 damage to an opposing card. If this card loses the battle deal 30 more damage to that card.,Make it count.,burst_damage,,gear/hammer,Charles Beckendorf.png
hylla,Hylla,Queen of the Amazons,Human,Greek,II,120,130,Royal Command,Deal 70 damage. This card gains +10 ATK for this battle.,I am the daughter of a war god.,burst_damage,,crossed axes,Hylla.png
rachel-elizabeth-dare,Rachel Elizabeth Dare,Oracle of Delphi,Oracle,Greek,II,90,150,Prophecy,Set the ATK of opposing card to 0 for this battle.,The oracle speaks the truth.,control,,eye of prophecy,Rachel Elizabeth Dare.png
octavian,Octavian,Roman Augur,Villain,Greek,II,90,110,Prophecy's Wrath,Destroy the strongest opposing card.,The fates have foretold your end.,finisher,,dagger,Octavian.png
phineas,Phineas,Blind Seer,Monster,Greek,I,6,8,Irritating Prophecy,Before reveal declare this Special. Phineas sets an opposing card's ATK to 2 for this battle.,My fate can't be changed. Yours however can be made miserable.,control,Low stats but powerful effect,blind eye,Phineas.png
bob-the-titan,Bob the Titan,Friendly Giant,Titan,Greek,II,110,180,I Am Bob,Restore 50 HP to this card and draw a card.,Oh! Bob is nice to you!,survivability,,cat,Bob the Titan.png
calypso,Calypso,Island Enchantress,Titan,Greek,II,90,125,Refreshing Magic,Restore 80 Health to this card and one ally's card.,I will heal you and the world.,survivability,,seashell,Calypso.png
gemini,Gemini,Twin Warriors,Demigod,Greek,II,95,165,Twin Strike,Both cards you control attack the targeted opposing card. (Each still attacks.),No foe can divide our strength.,burst_damage,,twin stars,Gemini.png
germanus,Germanus,Roman Giant Slayer,Monster,Roman,II,100,160,Savage Dominion,Deal 60 damage. This card gains +20 ATK for this battle.,Rome is built on blood.,burst_damage,,sword,Germanus2.png
telkhines,Telkhines,Demonical Dog-Men,Demigod,Greek,II,100,145,Corruption Hex,Deal 75 damage and curse opposing card for 2 turns.,The flames bend to their wicked machinations.,disruption,,trident,Telkhines.png
karpoi,Karpoi,Fruit Spirits,Monster,Greek,I,5,110,Vines and Roots,Before reveal declare this Special. For this battle Zeus's ATK becomes 15. Deal 3 damage to a Monster Titan or Giant.,We guard Demeter's harvest.,control,Ability text appears to be a copy error from Zeus,vine,Karpoi.png
epiales,Epiales,Bringer of Nightmares,God,Greek,III,90,100,Horrifying Sleep,Put another card to Sleep. Nightmare: If they're already Sleeping deal 60 damage to them.,Every dream dies here.,control,,nightmare flame,Epiales.png
midas,Midas.png,The Golden King,God,Greek,II,95,200,Golden Touch,Transforms the weakest opposing cards to gold.,All that glitters is mine!,control,,golden hand,Midas.png
percy-early,Percy Jackson (Early),Son of the Sea God,Demigod,Greek,I,65,80,Minor Wavecall,Deal 30 damage.,I didn't ask to be a half-blood.,burst_damage,,trident,Percy Jackson (Early).png
percy-mid,Percy Jackson (Mid),Son of the Sea God,Demigod,Greek,II,87,90,Tidal Surge,Unleash a crushing wave that damages all opposing cards and restores 10 health to Percy.,It's time I finished this.,burst_damage,,trident,Percy Jackson (Mid).png
percy-apex,Percy Jackson (Apex),Son of Poseidon,Demigod,Greek,III,102,115,Stormbreaker,Percy instantly wins the battle and gains an extra turn.,I am the son of Poseidon.,finisher,,trident,Percy Jackson (Apex).png
annabeth-early,Annabeth Chase (Early),Daughter of Athena,Demigod,Greek,I,50,75,Wisdom's Guidance,Draw a card.,As much as I hate clichés I'm afraid there's just no escaping the prophecy.,control,,owl,Annabeth Chase (Early).png
annabeth-mid,Annabeth Chase (Mid),Daughter of Athena,Demigod,Greek,II,78,95,Tactical Strike,Draw a card.,Even strength has to bow to wisdom sometimes.,control,,owl,Annabeth Chase (Mid-Age).png
annabeth-apex,Annabeth Chase (Apex),Daughter of Athena,Demigod,Greek,III,98,120,Master Strategist,Win the battle and gain an extra turn.,Athena always has a plan.,finisher,,owl,Annabeth Chase (Apex).png
nico-early,Nico di Angelo (Early),Son of Hades,Demigod,Greek,I,55,120,Ghostly Hit,Deal extra damage to a chosen card.,,burst_damage,Quote on card is copy error from Annabeth,skull,Nico di Angelo (Early).png
nico-mid,Nico di Angelo (Mid),Son of Hades,Demigod,Greek,II,78,140,Soul Blast,Deal 50 damage to all opposing cards.,Get out of my way.,burst_damage,,skull,Nico di Angelo (Mid).png
nico-apex,Nico di Angelo (Apex),Son of Hades,Demigod,Greek,III,124,160,King of Ghosts,Deal 75 damage to all opposing cards.,I'm not afraid of death.,burst_damage,,skull,Nico di Angelo (Apex).png
jason-grace,Jason Grace,Lightning Demigod,Demigod,Roman,II,90,160,Thunderstorm,Deal 60 damage to all opposing cards.,I don't back down from a fight.,burst_damage,,lightning bolt,Jason Grace.png
leo-valdez,Leo Valdez,Fire Crafter Demigod,Demigod,Greek,II,88,85,Inferno Blast,Deal 60 damage to all opposing cards.,Boom! How do you like that?,burst_damage,,flame,Leo Valdez.png
piper-mclean,Piper McLean,Charmspeaker Demigod,Demigod,Greek,II,64,105,Charmed Words,Deal 60 damage to all opposing cards.,Don't underestimate me.,control,,heart,Piper McLean.png
hazel-levesque,Hazel Levesque,Earth Sorceress Demigod,Demigod,Roman,II,72,85,Precious Curse,Deal 30 damage and stun a chosen opposing card for a turn.,,disruption,Quote on card is copy error from Leo,gem,Hazel Levesque.png
frank-zhang,Frank Zhang,Warriormorph Demigod,Demigod,Roman,II,79,110,Animal Strike,Deal 50 damage and add 30 health to this card.,I will defend the people I love.,survivability,,paw print,Frank Zhang.png
thalia-grace,Thalia Grace,Stormbringer Demigod,Demigod,Greek,II,82,95,Heavenly Spear,Deal 50 damage. If Zeus is in play deal 100 damage instead.,Send me a challenge!,burst_damage,,lightning bolt,Thalia Grace.png
clarisse-la-rue,Clarisse La Rue,Champion of Ares,Demigod,Greek,II,94,105,Battle Rage,Deal 75 damage to an opposing card and gain 50 health.,I'll crush anyone who gets in my way.,survivability,,spear,Clarisse La Rue.png
coach-hedge,Coach Hedge,Warrior Goat-Man,Satyr,Greek,II,70,112,Aggressive Rush,Deal 30 damage and gain +15 ATK.,DIE PINECONE FACE!,tempo,,baseball bat,Coach Hedge.png
will-solace,Will Solace,Healer Demigod,Demigod,Greek,II,60,110,Physician's Touch,Heal all your cards for 50 health.,,survivability,Quote on card is copy error from Reyna,sun,Will Solace.png
reyna-ramirez-arellano,Reyna Ramírez-Arellano,Praetor of Rome,Demigod,Roman,II,90,95,Praetor's Command,Deal 50 damage.,Rome stands because we stand together.,burst_damage,,eagle,Reyna Ramirez-Arellano.png
lester-papadopoulos,Lester Papadopoulos,Apollo in Mortal Form,Human,Greek,I,55,90,Sun Notes,Heal 30 Health and deal 30 damage.,I've got this...?,tempo,,lyre,Lester Papadopoulos.png
luke-castellan,Luke Castellan,Fallen Hero,Demigod,Greek,II,90,90,Stygian Strike,Deal 50 damage to an opposing card.,After this I'm nobody's hero.,burst_damage,,sword,Luke Castellan.png
zoe-nightshade,Zoë Nightshade,Huntress of Artemis,Hunter,Greek,II,85,100,Moonlit Shot,Deal 60 damage to an opposing card and restore 20 Health.,BY THE STARS!,burst_damage,,bow,Zoë.png
grover-underwood,Grover Underwood,Protector Satyr,Satyr,Greek,II,66,104,Forest Aid,Add 35 health to this card.,We can work through this together!,survivability,Card type on image shows Demigod but character is a Satyr,reed pipes,Grover Underwood.png
tyson,Tyson,Son of Poseidon,Cyclops,Greek,II,75,115,Forge Smash,Deal 50 damage to an opposing card.,TYSON SMASH!,burst_damage,,hammer,Tyson.png
chrysaor,Chrysaor,Golden Blade,Monster,Greek,II,85,125,Golden Strike,Deal 40 damage to an opposing card.,There's always a price for treasure.,burst_damage,ATK/HP estimated - not clearly visible on card image,trident,Chrysaor.png
kronos,Kronos,Luke Castellan (Possessed),Titan,Greek,III,100,175,Time Slash,This card's Attack Points are set to 120 for this battle.,Time will destroy you all.,burst_damage,,scythe,Kronos.png
atlas,Atlas,Titan General,Titan,Greek,II,110,160,Titan's Endurance,Set this card's Health Points to 200 for this battle.,NO BURDEN CAN DESTROY ME!,survivability,,crossed swords,Atlas.png
hyperion,Hyperion,Titan of Light,Titan,Greek,II,115,150,Solar Devastation,Set this card's Attack Points to 130 for this battle.,THE SUN BURNS ETERNAL.,burst_damage,,crossed swords,Hyperion.png
typhon,Typhon,Father of Monsters,Giant,Greek,III,120,230,Hurricane Devastation,Destroy all opposing cards with 125 or less Health.,I WILL CRUSH OLYMPUS.,finisher,,crossed swords,Typhon.png
gaia,Gaia,Mother Earth,Primordial,Greek,III,150,20,Earthly Wrath,Destroy all opposing cards that have 50 or less Health.,THE EARTH WILL CLAIM YOU ALL,finisher,Low HP but devastating special,tree,Gaia.png
python,Python,Ancient Serpent,Dragon,Greek,II,100,175,Flame Breath,Deal 75 damage to an opposing card.,SLITHER HOME DEMIGODS.,burst_damage,,crossed swords,Python.png
dracaenae,Dracaenae,Snake Women,Monster,Greek,II,80,140,Snake Fang Venom,Deal 30 damage and poison an opposing card.,DEAD MEAT!,disruption,,trident,Dracaenae.png
ventus,Ventus,Storm Spirit,Monster,Greek,II,85,105,Gale Crush,Deal 45 damage to an opposing card.,THE STORM OBEYS NO ONE,burst_damage,,trident,Ventus.png
commodus,Commodus,Mad Emperor,Villain,Roman,I,90,120,Stadium Slaughter,Deal 40 damage and draw a card.,EVERYONE WILL BOW BEFORE ME,tempo,,skull,Commodus.png
lityerses,Lityerses,Reaper of the Harvest,Monster,Greek,II,85,125,Blood Harvest,Set this card's Attack Points to 115 and deal 60 damage to an opposing card.,THE HARVEST ALWAYS COMES DUE,burst_damage,,crossed swords,Lityerses.png
medea,Medea,Dark Sorceress,Sorceress,Greek,II,95,135,Dark Sorcery,Deal 50 damage to an opposing card.,WATCH THEM BURN MY DEARS.,control,,crystal ball,Medea.png
alcyoneus,Alcyoneus,Immortal Giant,Giant,Greek,I,100,175,Mountain's Fury,If an opposing support card is in play deal 70 damage to an opposing card.,NONE CAN BANISH ME!,burst_damage,,crown,Alcyoneus.png
polybotes,Polybotes,Bane of Neptune,Giant,Greek,II,95,140,Tidal Onslaught,Deal 50 damage to up to two opposing cards.,YOU SHALL DROWN IN THE DEEP!,burst_damage,,trident,Polybotes.png
porphyrion,Porphyrion,King of the Giants,Giant,Greek,II,105,150,Vetos Force,Set this card's Health Points to 120 for this battle.,ALL KINGS FALL BEFORE ME!,survivability,Special may have copy error - sets HP below base,crossed swords,Porphyrion.png
enceladus,Enceladus,Bane of Athena,Titan,Greek,II,110,150,Earthbreaker,Set this card's Attack Points to 130 and deal 50 damage to an opposing card.,BURN IN MY FLAMES!,burst_damage,Card type on image shows Titan,flame,Enceladus.png
thoon,Thoon,Savage Giant,Giant,Greek,II,90,175,Nerve Ripper,Deal 45 damage and draw a card if the opposing card is an Adventurer card.,SUFFER AND DIE.,disruption,,crossed swords,Thoon.png
otis-and-ephialtes,Otis and Ephialtes,Twin Giants,Giant,Greek,II,145,210,Twin Destruction,If Otis & Ephialtes are the only Giant card in play set this card's Attack Points to 170 and deal 70 damage to two opposing cards.,DESTROY EVERYTHING,burst_damage,,crossed swords,Otis and Ephialtes.png
